,Lon,LENGTH_GEO
199,-131.75,590.8707339619999
200,-131.5,593.6769806360002
201,-131.25,576.0335831230001
202,-131.0,569.618305482
203,-130.75,566.902785083
204,-130.5,531.047319539
205,-130.25,464.382854661
206,-130.0,415.53838582300006
207,-129.75,388.58148540800005
208,-129.5,397.198745034
209,-129.25,415.487208704
210,-129.0,437.39852482
211,-128.75,458.748555441
212,-128.5,437.40434427800005
213,-128.25,510.968771273
214,-128.0,498.216093595
215,-127.75,445.0184703
216,-127.5,479.12695591199997
217,-127.25,452.22609850599997
218,-127.0,451.273373816
219,-126.75,541.652522613
220,-126.5,638.5220296070001
221,-126.25,593.2178176919999
222,-126.0,678.375663364
223,-125.75,680.37596471
224,-125.5,675.983264012
225,-125.25,548.447657549
226,-125.0,445.993435246
227,-124.75,439.706050569
